"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Delete exercise","LMS service","Mon Feb 09 13:14:58 UTC 2026","passed","Mon Feb 09 13:14:58 UTC 2026","Delete entity","Exercises","",""
"","521","Create user","LMS service","Mon Feb 09 13:15:01 UTC 2026","passed","Mon Feb 09 13:15:02 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Mon Feb 09 13:15:03 UTC 2026","passed","Mon Feb 09 13:15:03 UTC 2026","Get entity","Users","",""
"","267","Create file","LMS service","Mon Feb 09 13:15:02 UTC 2026","passed","Mon Feb 09 13:15:02 UTC 2026","Create entity","Files","",""
"","14","Get file","LMS service","Mon Feb 09 13:15:01 UTC 2026","passed","Mon Feb 09 13:15:01 UTC 2026","Get entity","Files","",""
"","19","Get exercises","LMS service","Mon Feb 09 13:14:59 UTC 2026","passed","Mon Feb 09 13:14:59 UTC 2026","Get entities","Exercises","",""
"","555","Create user","LMS service","Mon Feb 09 13:15:02 UTC 2026","passed","Mon Feb 09 13:15:03 UTC 2026","Create entity","Users","",""
"","18","Get exercise","LMS service","Mon Feb 09 13:14:58 UTC 2026","passed","Mon Feb 09 13:14:58 UTC 2026","Get entity","Exercises","",""
"","21","Create exercise","LMS service","Mon Feb 09 13:14:56 UTC 2026","passed","Mon Feb 09 13:14:56 UTC 2026","Create entity","Exercises","",""
"","25","Create course","LMS service","Mon Feb 09 13:14:55 UTC 2026","passed","Mon Feb 09 13:14:55 UTC 2026","Create entity","Courses","",""
"","32","Update course","LMS service","Mon Feb 09 13:14:55 UTC 2026","passed","Mon Feb 09 13:14:55 UTC 2026","Update entity","Courses","",""
"","18","Delete file","LMS service","Mon Feb 09 13:15:00 UTC 2026","passed","Mon Feb 09 13:15:00 UTC 2026","Delete entity","Files","",""
"","17","Create file with empty filename","LMS service","Mon Feb 09 13:15:00 UTC 2026","passed","Mon Feb 09 13:15:00 UTC 2026","Validate entity","Files","",""
"","530","Create user","LMS service","Mon Feb 09 13:15:02 UTC 2026","passed","Mon Feb 09 13:15:02 UTC 2026","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Mon Feb 09 13:14:54 UTC 2026","passed","Mon Feb 09 13:14:54 UTC 2026","Login","Authentication","",""
"","29","Get courses","LMS service","Mon Feb 09 13:14:54 UTC 2026","passed","Mon Feb 09 13:14:54 UTC 2026","Get entities","Courses","",""
"","17","Update exercise","LMS service","Mon Feb 09 13:14:56 UTC 2026","passed","Mon Feb 09 13:14:56 UTC 2026","Update entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Mon Feb 09 13:15:01 UTC 2026","passed","Mon Feb 09 13:15:01 UTC 2026","Validate entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Mon Feb 09 13:14:59 UTC 2026","passed","Mon Feb 09 13:14:59 UTC 2026","Validate entity","Files","",""
