"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Update course","LMS service","Fri Feb 13 13:01:45 UTC 2026","passed","Fri Feb 13 13:01:46 UTC 2026","Update entity","Courses","",""
"","259","Create file with empty filename","LMS service","Fri Feb 13 13:01:50 UTC 2026","passed","Fri Feb 13 13:01:50 UTC 2026","Validate entity","Files","",""
"","26","Get courses","LMS service","Fri Feb 13 13:01:44 UTC 2026","passed","Fri Feb 13 13:01:44 UTC 2026","Get entities","Courses","",""
"","552","Create user","LMS service","Fri Feb 13 13:01:52 UTC 2026","passed","Fri Feb 13 13:01:53 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Fri Feb 13 13:01:51 UTC 2026","passed","Fri Feb 13 13:01:51 UTC 2026","Get entity","Files","",""
"","287","Create user","LMS service","Fri Feb 13 13:01:52 UTC 2026","passed","Fri Feb 13 13:01:52 UTC 2026","Create entity","Users","",""
"","286","Get exercises","LMS service","Fri Feb 13 13:01:48 UTC 2026","passed","Fri Feb 13 13:01:48 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Fri Feb 13 13:01:53 UTC 2026","passed","Fri Feb 13 13:01:53 UTC 2026","Get entity","Users","",""
"","21","Delete file","LMS service","Fri Feb 13 13:01:50 UTC 2026","passed","Fri Feb 13 13:01:50 UTC 2026","Delete entity","Files","",""
"","552","Login with correct email and password","LMS service","Fri Feb 13 13:01:43 UTC 2026","passed","Fri Feb 13 13:01:44 UTC 2026","Login","Authentication","",""
"","288","Create exercise","LMS service","Fri Feb 13 13:01:46 UTC 2026","passed","Fri Feb 13 13:01:46 UTC 2026","Create entity","Exercises","",""
"","15","Get exercise","LMS service","Fri Feb 13 13:01:47 UTC 2026","passed","Fri Feb 13 13:01:47 UTC 2026","Get entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Fri Feb 13 13:01:51 UTC 2026","passed","Fri Feb 13 13:01:51 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS service","Fri Feb 13 13:01:45 UTC 2026","passed","Fri Feb 13 13:01:45 UTC 2026","Create entity","Courses","",""
"","539","Create user","LMS service","Fri Feb 13 13:01:51 UTC 2026","passed","Fri Feb 13 13:01:52 UTC 2026","Create entity","Users","",""
"","288","Delete exercise","LMS service","Fri Feb 13 13:01:48 UTC 2026","passed","Fri Feb 13 13:01:48 UTC 2026","Delete entity","Exercises","",""
"","270","Create file","LMS service","Fri Feb 13 13:01:52 UTC 2026","passed","Fri Feb 13 13:01:52 UTC 2026","Create entity","Files","",""
"","295","Update exercise","LMS service","Fri Feb 13 13:01:47 UTC 2026","passed","Fri Feb 13 13:01:47 UTC 2026","Update entity","Exercises","",""
"","16","Get file with incorrect file id","LMS service","Fri Feb 13 13:01:49 UTC 2026","passed","Fri Feb 13 13:01:49 UTC 2026","Validate entity","Files","",""
