"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Update exercise","LMS service","Mon Feb 09 12:54:56 UTC 2026","passed","Mon Feb 09 12:54:56 UTC 2026","Update entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Mon Feb 09 12:55:01 UTC 2026","passed","Mon Feb 09 12:55:01 UTC 2026","Validate entity","Files","",""
"","266","Create file","LMS service","Mon Feb 09 12:55:02 UTC 2026","passed","Mon Feb 09 12:55:02 UTC 2026","Create entity","Files","",""
"","524","Create user","LMS service","Mon Feb 09 12:55:02 UTC 2026","passed","Mon Feb 09 12:55:02 UTC 2026","Create entity","Users","",""
"","30","Create course","LMS service","Mon Feb 09 12:54:55 UTC 2026","passed","Mon Feb 09 12:54:55 UTC 2026","Create entity","Courses","",""
"","23","Delete file","LMS service","Mon Feb 09 12:55:00 UTC 2026","passed","Mon Feb 09 12:55:00 UTC 2026","Delete entity","Files","",""
"","18","Get exercise","LMS service","Mon Feb 09 12:54:57 UTC 2026","passed","Mon Feb 09 12:54:57 UTC 2026","Get entity","Exercises","",""
"","552","Create user","LMS service","Mon Feb 09 12:55:02 UTC 2026","passed","Mon Feb 09 12:55:03 UTC 2026","Create entity","Users","",""
"","19","Create file with empty filename","LMS service","Mon Feb 09 12:55:00 UTC 2026","passed","Mon Feb 09 12:55:00 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Mon Feb 09 12:54:58 UTC 2026","passed","Mon Feb 09 12:54:58 UTC 2026","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Mon Feb 09 12:55:03 UTC 2026","passed","Mon Feb 09 12:55:03 UTC 2026","Get entity","Users","",""
"","524","Create user","LMS service","Mon Feb 09 12:55:01 UTC 2026","passed","Mon Feb 09 12:55:02 UTC 2026","Create entity","Users","",""
"","34","Update course","LMS service","Mon Feb 09 12:54:55 UTC 2026","passed","Mon Feb 09 12:54:55 UTC 2026","Update entity","Courses","",""
"","22","Get exercises","LMS service","Mon Feb 09 12:54:59 UTC 2026","passed","Mon Feb 09 12:54:59 UTC 2026","Get entities","Exercises","",""
"","20","Get file with incorrect file id","LMS service","Mon Feb 09 12:54:59 UTC 2026","passed","Mon Feb 09 12:54:59 UTC 2026","Validate entity","Files","",""
"","27","Get courses","LMS service","Mon Feb 09 12:54:54 UTC 2026","passed","Mon Feb 09 12:54:54 UTC 2026","Get entities","Courses","",""
"","14","Get file","LMS service","Mon Feb 09 12:55:01 UTC 2026","passed","Mon Feb 09 12:55:01 UTC 2026","Get entity","Files","",""
"","554","Login with correct email and password","LMS service","Mon Feb 09 12:54:53 UTC 2026","passed","Mon Feb 09 12:54:54 UTC 2026","Login","Authentication","",""
"","23","Create exercise","LMS service","Mon Feb 09 12:54:56 UTC 2026","passed","Mon Feb 09 12:54:56 UTC 2026","Create entity","Exercises","",""
